"""1617"""$"""1919"""$"""Gerard Cieślik"""$"""7"""$"""108243"""$"""0"""
"""1618"""$"""1919"""$"""Mieczysław Gracz"""$"""15"""$"""109156"""$"""0"""
"""1619"""$"""1919"""$"""Henryk Spodzieja"""$"""83"""$"""111813"""$"""0"""
"""1636"""$"""1934"""$"""Mieczysław Gracz"""$"""36"""$"""109156"""$"""0"""
"""1639"""$"""1941"""$"""Zdzislaw Mordarski"""$"""20"""$"""76528"""$"""0"""
"""1640"""$"""1941"""$"""Jan Wiśniewski"""$"""33"""$"""112226"""$"""0"""
"""1644"""$"""1943"""$"""Józef Kohut"""$"""80"""$"""109563"""$"""0"""
"""1683"""$"""1968"""$"""Henryk Kempny"""$"""88"""$"""76270"""$"""0"""
"""1698"""$"""1976"""$"""Ernest Pol"""$"""3"""$"""76275"""$"""0"""
"""1699"""$"""1976"""$"""Stanislaw Hachorek"""$"""58"""$"""109323"""$"""0"""
"""1700"""$"""1976"""$"""Jan Gawroński"""$"""81"""$"""79746"""$"""0"""
"""1701"""$"""1977"""$"""Ernest Pol"""$"""14"""$"""76275"""$"""0"""
"""1702"""$"""1977"""$"""Ernest Pol"""$"""19"""$"""76275"""$"""0"""
"""1703"""$"""1977"""$"""Stanisław Hachorek"""$"""43"""$"""109323"""$"""0"""
"""1704"""$"""1977"""$"""Ernest Pol"""$"""44"""$"""76275"""$"""0"""
"""1705"""$"""1977"""$"""Andrzej Sykta"""$"""53"""$"""111937"""$"""0"""
"""1706"""$"""1977"""$"""Zbigniew Szarzyński"""$"""79"""$"""111952"""$"""0"""
"""1716"""$"""1982"""$"""Ernest Pol"""$"""7"""$"""76275"""$"""0"""
"""1717"""$"""1982"""$"""Ernest Pol"""$"""40"""$"""76275"""$"""0"""
"""1718"""$"""1982"""$"""Ernest Pol"""$"""42"""$"""76275"""$"""0"""
"""1719"""$"""1982"""$"""Stanislaw Hachorek"""$"""72"""$"""109323"""$"""0"""
"""1720"""$"""1982"""$"""Ernest Pol"""$"""78"""$"""76275"""$"""0"""
"""1721"""$"""1982"""$"""Ernest Pol"""$"""87"""$"""76275"""$"""0"""
"""1722"""$"""1983"""$"""Zygmunt Gadecki"""$"""64"""$"""76532"""$"""0"""
"""1747"""$"""1999"""$"""Roman Lentner"""$"""87"""$"""110941"""$"""0"""
"""1771"""$"""2008"""$"""Ernest Pol"""$"""25 p"""$"""76275"""$"""0"""
"""1772"""$"""2008"""$"""Ernest Pol"""$"""53"""$"""76275"""$"""0"""
"""1810"""$"""2035"""$"""Wlodzimierz Lubański"""$"""64 p"""$"""30982"""$"""0"""
"""1845"""$"""2050"""$"""Kazimierz Deyna"""$"""27"""$"""27127"""$"""0"""
"""1877"""$"""2064"""$"""Marian Kozerski"""$"""30"""$"""110801"""$"""0"""
"""1878"""$"""2064"""$"""Bernard Blaut"""$"""40"""$"""75700"""$"""0"""
"""1890"""$"""2071"""$"""Wlodzimierz Lubański"""$"""38"""$"""30982"""$"""0"""
"""1891"""$"""2072"""$"""Jan Banaś"""$"""20"""$"""107747"""$"""0"""
"""1892"""$"""2072"""$"""Jan Banaś"""$"""75"""$"""107747"""$"""0"""
"""1893"""$"""2072"""$"""Joachim Marx"""$"""85"""$"""111160"""$"""0"""
"""1894"""$"""2074"""$"""Włodzimierz Lubański"""$"""42"""$"""30982"""$"""0"""
