"98"$"141"$"Kohler"$"57"$"0"$"0"
"99"$"141"$"Kohler"$$"0"$"0"
"3583"$"3266"$"João Vieira Pinto"$"71"$"0"$"0"
"3588"$"3267"$"Figo"$"79"$"0"$"0"
"3594"$"3269"$"João Vieira Pinto"$"40"$"0"$"0"
"3597"$"3269"$"João Vieira Pinto"$"59"$"0"$"0"
"3598"$"3269"$"João Vieira Pinto"$"68"$"0"$"0"
"3602"$"3270"$"João Vieira Pinto"$"36"$"0"$"0"
"3603"$"3270"$"Figo"$"45"$"0"$"0"
"3605"$"3271"$"Figo"$"90"$"0"$"0"
"3606"$"3272"$"Figo"$"45"$"0"$"0"
"3608"$"3275"$"Figo"$"50"$"0"$"0"
"3609"$"3277"$"Figo"$"21"$"0"$"0"
"3612"$"3278"$"Figo"$"22"$"0"$"0"
"3613"$"3278"$"João Vieira Pinto"$"38"$"0"$"0"
"3620"$"3283"$"João Vieira Pinto"$"31"$"0"$"0"
"3621"$"3283"$"Figo"$"39"$"0"$"0"
"3623"$"3283"$"Boto"$"80"$"0"$"0"
"3626"$"3284"$"Figo"$"48"$"0"$"0"
"3630"$"3287"$"Figo"$"48"$"0"$"0"
"3632"$"3288"$"Figo"$"1"$"0"$"0"
"3634"$"3288"$"Figo"$"48"$"0"$"0"
"3635"$"3291"$"Figo"$"78"$"0"$"0"
"3640"$"3292"$"João Vieira Pinto"$"75"$"0"$"0"
"3641"$"3292"$"João Vieira Pinto"$"80"$"0"$"0"
"3642"$"3293"$"Figo"$"42 p"$"0"$"0"
"3643"$"3293"$"Figo"$"58 p"$"0"$"0"
"3644"$"3293"$"Figo"$"88"$"0"$"0"
"3645"$"3294"$"Nuno Gores"$"36"$"0"$"0"
"3652"$"3295"$"Nuno Gores"$"48"$"0"$"0"
"3655"$"3296"$"João Vieira Pinto"$"29"$"0"$"0"
"3659"$"3296"$"Figo"$"78"$"0"$"0"
"3660"$"3297"$"Figo"$"25 p"$"0"$"0"
"3667"$"3301"$"Nuno Games"$"50"$"0"$"0"
"3676"$"3307"$"Romeo"$"54"$"0"$"0"
"3682"$"3311"$"Figo"$"24"$"0"$"0"
"3689"$"3318"$"Figo"$"8"$"0"$"0"
"3697"$"3320"$"Figo"$"34"$"0"$"0"
"3705"$"3324"$"Figo"$"14"$"0"$"0"
"3709"$"3325"$"Pasıleta"$"13"$"0"$"0"
"3744"$"3344"$"José Manuel Martins"$"81"$"0"$"0"
"3745"$"3345"$"José Manuel Martins"$"7"$"0"$"0"
"3747"$"3345"$"José Manuel Martins"$"49"$"0"$"0"
"3752"$"3350"$"Vitor Silva"$"53"$"0"$"0"
"3754"$"3351"$"Aniiando Martins"$"20"$"0"$"0"
"3758"$"3352"$"Valdeiiiar"$"63"$"0"$"0"
"3767"$"3363"$"Aiinando Martins"$"18"$"0"$"0"
"3771"$"3364"$"Vaiadas"$"43"$"0"$"0"
"3782"$"3372"$"Vaiadas"$"78"$"0"$"0"
"3783"$"3373"$"Espírito Santo"$"11"$"0"$"0"
"3786"$"3373"$"Joao Cruz"$"75"$"0"$"0"
"3803"$"3386"$"Araújo (39). Peyroteo"$"70"$"0"$"0"
"3811"$"3389"$"Travaços"$"60"$"0"$"0"
"3812"$"3389"$"Travaços"$"88"$"0"$"0"
"3822"$"3398"$"Mota"$"65"$"0"$"0"
"3825"$"3401"$"Travaços"$"52"$"0"$"0"
"3830"$"3403"$"Travaços"$"9"$"0"$"0"
"3832"$"3404"$"Jesus Coiтeia"$"85"$"0"$"0"
"3837"$"3409"$"Travaços"$"31"$"0"$"0"
"3839"$"3411"$"José Águas"$"59"$"0"$"0"
"3841"$"3412"$"José Aguas"$"23"$"0"$"0"
"3843"$"3415"$"Travaços"$"53"$"0"$"0"
"3844"$"3418"$"José Aguas"$"24"$"0"$"0"
"3846"$"3418"$"José Águas"$"83"$"0"$"0"
"3847"$"3419"$"José Aguas"$"32"$"0"$"0"
"3848"$"3419"$"José Aguas"$"79"$"0"$"0"
"3850"$"3421"$"José Águas"$"31"$"0"$"0"
"3853"$"3421"$"José Águas"$"89"$"0"$"0"
"3855"$"3422"$"Ali Beratlýgil"$"47 "$"0"$"0"
"3859"$"3425"$"José Aguas"$"43"$"0"$"0"
"3860"$"3425"$"Vasηues"$"64"$"0"$"0"
"3867"$"3435"$"Heıııâni"$"10"$"0"$"0"
"3877"$"3440"$"Mataten"$"77"$"0"$"0"
"3881"$"3443"$"Cavérıı"$"29"$"0"$"0"
"3882"$"3444"$"José Aguas"$"39"$"0"$"0"
"3888"$"3445"$"José Aguas"$"59"$"0"$"0"
"3902"$"3458"$"Eiisébio"$"53"$"0"$"0"
"3903"$"3460"$"Peres"$"42"$"0"$"0"
"3907"$"3463"$"Eıısébiπ"$"21"$"0"$"0"
"3917"$"3471"$"Toıтes"$"72"$"0"$"0"
"3924"$"3474"$"Toітes"$"1"$"0"$"0"
"3928"$"3476"$"Ivan Vutzov"$"7 "$"0"$"0"
"3930"$"3476"$"Toıтes"$"82"$"0"$"0"
"3947"$"3485"$"Toıres"$"29"$"0"$"0"
"3949"$"3489"$"Jacinto"$"21"$"0"$"0"
"3950"$"3489"$"Jacinto JoSo"$"33"$"0"$"0"
"3951"$"3489"$"Jacinto"$"71"$"0"$"0"
"3955"$"3493"$"Peres"$"86"$"0"$"0"
"3958"$"3500"$"Patrick Stanton"$"25 "$"0"$"0"
