"""888""","""61""","""189""","""07.10.2000""","""17`"""" WC.Qualifiers ""","""Skonto, Riga, ""","""Leslie Irvine""","""Northern Ireland""","""7311""","""LATVIA""","""BELGILI	""","""0""","""4""","""0""","""2""","""Gary Johnson""","""11""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""907""","""63""","""208""","""20.11.2002""","""12 EC.Qualifiers ""","""01lnıpіco, Seіravalle, ""","""Asim Khudiev""","""Azerbaijan""","""600""","""SAN МARINO""","""LATVIA	""","""0""","""1""","""0""","""0""","""Aleksandrs Starkovs""","""15""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""911""","""63""","""212""","""07.06.2003""","""12"""" EC.Qualifers""","""Puskás Ferenc, Budapest, ""","""Dr. Markus Merk""","""Germany""","""000""","""IIUNGARY""","""LATVIA	""","""3""","""1""","""0""","""1""","""Aleksandrs Starkovs""","""19""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""926""","""64""","""227""","""06.06.2004""",,"""Skonto, Riga, ""","""Jarl Maisonlabti""","""Finland""","""8000""","""LATVIA""","""AZERBALJAN	""","""2""","""2""","""0""","""0""","""Aleksandrs Starkovs""","""34""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""952""","""67""","""17""","""11.10.1995""","""10h EC.Qualifiers ""","""Sportpark, Eschen/Mauren, ""","""I:uboš Michel""","""Slovakia""","""1100""","""LIEĆHTENSTEIN""","""NORTHERN IRELAND	""","""0""","""4""","""0""","""1""","""Dietrich Weise""","""12""","""LIE""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""953""","""67""","""18""","""24.04.1996""","""16`"""" WC.Qualifiers ""","""Gradski, Skopje, ""","""Loizos Loizou""","""Cyprus""","""11500""","""MACEDOŃIA""","""LIECHTENSTEIN	""","""3""","""0""","""1""","""0""","""Dietrich Weise""","""13""","""LIE""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""961""","""67""","""26""","""20.08.1997""","""16th WC.Qualifiers ""","""Sportpark, Eschen/Mauren, ""","""Oleg Tiı»ofeev""","""Estonia""","""550""","""LIECHTENSTEIN""","""ICELANЛ	""","""0""","""4""","""0""","""2""","""Alfred Riedl""","""4""","""LIE""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""964""","""67""","""29""","""02.06.1998""",,"""Ernst Happel, Wien, ""","""Bondan Benedik""","""Slovakia""","""11000""","""AUSTRIA""","""LIECHTENŚTEIN	""","""6""","""0""","""2""","""0""","""Erich Bürzle""","""1""","""LIE""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""970""","""68""","""35""","""05.06.1999""","""11 """" EC.Qualifiers ""","""Tofik Bahramov, Baku, ""","""Knot Statsgård""","""Denmark""","""8000""","""AZERBAIJAN""","""LIECΣΡITENSTEIN	""","""4""","""0""","""2""","""0""","""Ralf Loose""","""6""","""LIE""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""975""","""68""","""40""","""09.10.1999""","""11`h EC.Qualifiers ""","""Rheinpark, Vaduz, ""","""Andrei Butenko""","""Russia""","""2900""","""LIECHTENSTEIN""","""ROМÂNIA	""","""0""","""3""","""0""","""1""","""Ralf I-,00se""","""11""","""LIE""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""981""","""68""","""46""","""24.03.2001""","""17th WС.Qualitiers ""","""José Rico Pérez, Alicante, ""","""Darko Ceferin""","""Slovenia""","""29900""","""SPAIN""","""LIECITENSTEIN	""","""5""","""0""","""2""","""0""","""Ralf Loose""","""17""","""LIE""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""986""","""69""","""51""","""07.10.2001""","""17e WC.Qualifiers ""","""Bilino Polje, Zenica, ""","""John Mc Deımott""","""Ireland""","""6000""","""BOSNIA-HERZEGOVINA""","""LIEĆHТENSTEIN	""","""5""","""0""","""2""","""0""","""Ralf Loose""","""22""","""LIE""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""991""","""69""","""56""","""08.09.2002""","""171h EC.Qualifiers ""","""Rheinpark, Vaduz, ""","""Vitaliy Godulyan""","""Ukraine""","""4000""","""LIECITENSTEIN""","""MACEDONIA	""","""1""","""1""","""0""","""1""","""Ralf Loose""","""27""","""LIE""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""1006""","""70""","""71""","""08.09.2004""","""WC.Qualifiers""","""Tehelné pole, Bratislava, ""","""Dejan Delević""","""Serbia & Montenegro""","""5600""","""SLOVAKIA""","""LIECHTEŃSTEIN	""","""7""","""0""","""2""","""0""","""Martin Andermatt""","""7""","""LIE""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""1137""","""79""","""128""","""23.03.1952""",,"""Luxembourg, ""","""Lucien van Nuffel""","""Belgium""",,"""LUXEMBOURG""","""SW~ТZERLAND „B""""	""","""2""","""2""","""0""","""0""",,"""0""","""LUX""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""1142""","""79""","""133""","""29.06.1952""",,"""Merzig, """,,,,"""SAAR Amateurs""","""LUXEMBOURG	""","""1""","""6""","""1""","""1""",,"""0""","""LUX""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""1156""","""80""","""147""","""10.10.1954""",,"""Luxembourg, ""","""Louis Fauquemberghe""","""France""",,"""LUXEMBOURG""","""SWITZERLAŃD „B""""	""","""0""","""1""","""0""","""1""",,"""0""","""LUX""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""1226""","""84""","""217""","""20.09.1964""","""8`ł WC.Qualifiers ""","""JNA, Beograd, ""","""Petros Tsouvaras""","""Greece""","""22166""","""ÝUGOSLAУIA""","""LUXEMBOURG	""","""3""","""1""","""2""","""0""",,"""0""","""LUX""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""1247""","""85""","""238""","""22.11.1967""","""3rd EC.Qualifiers ""","""Klokke, Brugge, ""","""William ONeill""","""Republic of Ireland""","""6745""","""BELGrUM""","""LUХЕГvГВOURG	""","""3""","""0""","""0""","""0""","""Robert Heinz""","""5""","""LUX""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""1249""","""85""","""240""","""31.03.1968""",,"""Esch-sur-Alzette, ""","""Hubert &Irguet""","""Belgium""",,"""LUXEMBOiJRG""","""FRANCE Amateurs	""","""1""","""4""","""1""","""1""",,"""0""","""LUX""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""1329""","""90""","""320""","""13.05.1980""","""Mara Halim Cup ""","""Médan (Indonesia), ""","""K. Yasuda""","""Japan""",,"""BIRMANIA""","""LUXEMBOURG	""","""2""","""0""","""1""","""0""","""Louis Pilot""","""8""","""LUX""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""1353""","""91""","""344""","""01.05.1984""",,"""Deich, Ettelbruck, Re): Robert Charles Paul Wurtz (France), """,,,"""1411""","""LUXEiMBOURG""","""NORWAY	""","""0""","""2""","""0""","""0""",,"""0""","""LUX""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""1393""","""94""","""384""","""18.12.1991""","""9°ı EC.Qualifiers ""","""Ulrich Haberland, Leverkusen, ""","""Zbigniew Przesmycki""","""Poland""","""26000""","""GERМANY""","""LUXEMBOURG	""","""4""","""0""","""2""","""0""","""Paul Philipp""","""26""","""LUX""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""1438""","""96""","""429""","""26.04.2000""",,"""Josy Barthel, Luxembourg, ""","""Roelof Luinge""","""Holland""","""1200""","""LUXEMBOURG""","""ESТONIA	""","""1""","""1""","""0""","""0""","""Paul Philipp""","""71""","""LUX""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""1440""","""96""","""431""","""03.09.2000""","""17`"""" WC.Qııalifiers ""","""losy Barthel, Luxembourg, ""","""Sergey Shmolik""","""Kelanis""","""3305""","""LUXEMBOURG""","""УUGOЅLАVІА	""","""0""","""2""","""0""","""2""","""Paul Philipp""","""73""","""LUX""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""1463""","""98""","""454""","""11.06.2003""","""12`h EC.Qualifiers ""","""Jost Barthel, Luxembourg, ""","""Yuri Baskakov""","""Russia""","""6869""","""LUXEMBOURG""","""DENNLARK	""","""0""","""2""","""0""","""1""","""Allan Rodenkam Simonsen""","""12""","""LUX""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""1487""","""100""","""22""","""14.11.1971""","""10h WC.Qualifiers ""","""Empire Stadium, Gzira, ""","""Concetto Lo Scllo""","""Italy""","""9231""","""MALTA""","""IJl""","""0""","""2""",,,"""Tony Formosa""","""4""","""iTAL""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""1510""","""101""","""45""","""30.04.1977""","""11"""" WC.Qualifiers ""","""Lehen, Salzburg, ""","""Alojzy Jarguz""","""Poland""","""17000""","""AUSTRIA""","""NIALTA	""","""9""","""0""","""5""","""0""","""Johnny Ćalleja""","""6""","""VIAL""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""1525""","""102""","""60""","""14.06.1981""","""11"""" Presidents Cup ""","""Jeun-loo Stadium, Dae-Jon (South Korea), ""","""Haji Daud Hassan""","""Malaysia""","""300""","""LIECHTENsTEIN""","""MALTA	""","""1""","""1""","""1""","""0""","""Victor Seerri""","""13""","""MAL""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""1527""","""102""","""62""","""22.06.1981""","""111 Presidents Cup ""","""Seoul, ""","""Haji Daud Hassan""","""Malaysia""","""916""","""TIIAILAND""","""MALTA	""","""0""","""2""","""0""","""1""","""Victor Sceni""","""15""","""MAL""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""1530""","""103""","""65""","""15.11.1981""","""12 WCQualif)crs ""","""Olimpijski, Wroclaw, ""","""Во Helen""","""Sweden""","""25000""","""     POLAND""","""чIALTA	""","""6""","""0""","""1""","""0""","""Victor Semi""","""18""","""MAL""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""1535""","""103""","""70""","""01.02.1983""",,"""Магѕа Stadium, Магѕа, ""","""Edgar Azzopardi""","""Malta""","""445""","""  MALTA""","""ТіЈNІЅІА	""","""1""","""2""","""1""","""2""","""Victor Scerri""",""" 23""","""NIAL""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""1537""","""103""","""72""","""15.05.1983""","""ıth EC.Qualitlers ""","""National, TaQali, ""","""Vaggelis Giannakoudakis""","""Greece""","""7732""","""MАLТА""","""ЅРАІN	""","""2""","""3""","""1""","""1""","""Victor Scerri""","""25""","""NIAL""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
