"277"$"287"$"Zvonimir Bohan"$"46"$"2977"$"0"
"278"$"289"$"Davor Šuker"$"53"$"1"$"0"
"279"$"289"$"Zvonimir Bohan"$"80"$"2977"$"0"
"280"$"289"$"Davor Šuker"$"89"$"1"$"0"
"281"$"291"$"Davor Šuker"$"50"$"1"$"0"
"282"$"292"$"Slaven Bilić"$"14"$"2975"$"0"
"283"$"292"$"Goran. Vlaović"$"32"$"1094"$"0"
"284"$"292"$"Alen Bokšić"$"63"$"1101"$"0"
"285"$"292"$"Alen Bokšić"$"84"$"1101"$"0"
"286"$"293"$"Davor .Šuker"$"45"$"1"$"0"
"287"$"294"$"Goran Vlaović"$"14"$"1094"$"0"
"288"$"294"$"Goran Vlaović"$"15"$"1094"$"0"
"289"$"295"$"Nenad Pralija"$"29"$"3836"$"0"
"290"$"296"$"Davor Šmіker"$"50"$"1"$"0"
"291"$"297"$"Robert Prosinečki"$"33"$"1099"$"0"
"292"$"297"$"Zvonimir Bohan"$"43"$"2977"$"0"
"293"$"297"$"Zvonimir Bohan"$"60"$"2977"$"0"
"294"$"298"$"Davor Šuker"$"74"$"1"$"0"
"295"$"299"$"Aljoša Asanović"$"77"$"2976"$"0"
"296"$"299"$"Aljoša Asanović"$"79"$"2976"$"0"
"297"$"299"$"Goran Vlaović"$"90"$"1094"$"0"
"298"$"300"$"Tomislav Erceg"$"21"$"8720"$"0"
"299"$"301"$"Slavcu Bilić"$"27"$"2975"$"0"
"300"$"301"$"Silvio Marić"$"40"$"2980"$"0"
"301"$"301"$"Zvonimir Boban"$"80"$"2977"$"0"
"302"$"302"$"Davor Šuker"$"44"$"1"$"0"
"303"$"304"$"Slaven Нilić"$"11"$"2975"$"0"
"304"$"304"$"Goran Vlaović"$"49"$"1094"$"0"
"305"$"305"$"Alen Bokšić"$"27"$"1101"$"0"
"306"$"306"$"Zvonimir Bohan"$"6"$"2977"$"0"
"307"$"306"$"Mario Stanić"$"21"$"1102"$"0"
"308"$"306"$"Mario Stanić"$"43"$"1102"$"0"
"309"$"306"$"Alen Bokšić"$"47"$"1101"$"0"
"310"$"307"$"Goran Vlaović"$"45"$"1094"$"0"
"311"$"308"$"Robert Prosinečki"$"30"$"1099"$"0"
"312"$"308"$"Davor Šuker"$"77"$"1"$"0"
"313"$"309"$"Davor Šuker"$"14"$"1"$"0"
"314"$"309"$"Davor Šuker"$"37"$"1"$"0"
"315"$"309"$"Robert Prosinečki"$"40"$"1099"$"0"
"316"$"309"$"Zvonimir Boban"$"47"$"2977"$"0"
"317"$"309"$"Davor Šuker"$"62"$"1"$"0"
"318"$"309"$"Ardían Kozniku"$"72"$"2982"$"0"
"319"$"309"$"Zvonimir Boban"$"83"$"2977"$"0"
"320"$"310"$"Mario Stanić"$"27"$"1102"$"0"
"321"$"310"$"Robert Prosinečki"$"53"$"1099"$"0"
"322"$"310"$"Davor Šuker"$"68"$"1"$"0"
"323"$"311"$"Davor Šuker"$"77"$"1"$"0"
"324"$"313"$"Davor Šuker"$"45"$"1"$"0"
"325"$"314"$"Robert Jarni"$"45"$"1092"$"0"
"326"$"314"$"Goran Vlaović"$"80"$"1094"$"0"
"327"$"314"$"Davor Šuker"$"84"$"1"$"0"
