7141,9.09.1981,ROМÂNIA,BULGARIA	
7142,23.09.1981,ITALIA,BULGARIA	
7147,16.12.1981,IULGARIA,PORfUGAL	
7157,16.11.1982,,
7163,9.03.1983,,
7168,04.05.1983,,
7173,21.09.1983,,
7174,12.10.1983,,
7178,4.02.1984,MAROC,BULGARIA	
7180,28.03.1984,,
7182,11.04.1984,,
7183,25.04.1984,,
7204,19.02.1986,MAROC,BULGARIA	
7207,30.04.1986,BULGARIA,NORTH KOREEA	
7208,31.05.1986,BULGARIA,ITALIA	
7209,5.06.1986,BULGARIA,SOUTH KOREEA	
7212,10.09.1986,SCOTLAŇD,BULGARIA	
7235,24.12.1988,UNITED ARAB EМIRATES,BULGARIA	
7241,20.09.1989,ITALIA,BULGARIA	
7245,12.09.1990,SWITZERLANЛ,BULGARIA	
7252,1.05.1991,BULGARIA,SWІТZERLAND	
7256,29.05.1991,BRASIL,BULGARIA	
7260,25.09.1991,BULGARIA,ITALIA	
7267,28.04.1992,SWITZERLÀND,BULGARIA	
7270,06.05.1923,ĆZECHOŚLOVAKIA,DENMARK	
7286,18.02.1993,UNITED ARAB EMIRATS,BULGARIA	
7288,20.02.1993,UNITED ARAB EMIRATE,RULGARLA	
7303,03.07.1926,ĆZECHOSLOVAКIA,SWEDEN	
7308,3.06.1994,BULGARIA,UKRAINA	
7319,18.09.1927,CZEĆHOSLOVAKIA,AUSTRIλ	
7322,13.07.1994,ITALIA,BULGARIA	
7359,2.06.1996,BULGARIA,UNITED ARAB EMIRATE	
7388,10.09.1997,BULGARIA,RUUSSIA	
7423,23.09.1934,AUŚTRIA,CZECHOSLOVAKIA	
7427,19.05.1999,SLOVAKLA,BULGARIA	
7434,18.08.1999,UKRAINA,BULGARIA	
7451,15.05.1937,CZECHOSLOVAKIA,SCOТLAND	
7452,26.04.2000,BULGARIA,UKRAINA	
7467,28.01.2001,JAMAIĆA,BULGARIA	
7476,25.04.2001,NORGE,BULGARIA	
7481,28.08.1938,YUGOSLAVIA,ĆZECHOSLOVAКIA	
